4/16/2012,Edward Elliott V. d. Semen Tripolskiy,6-2; 1-6; 6-3
4/16/2012,(5) Paulo Coronado d. (1) Oleg Dmitriev,Def (ns)
4/16/2012,(2) Jeff Zenisek d. chatrian gnitou peity,6-2; 6-2
4/16/2012,Ryan Brookshaw d. Bruce Kurtz,6-1; 6-3
4/16/2012,Maksim Tikhomirov d. (4) Juan Rocha,6-3; 6-3
4/16/2012,(6) Mario Porcelli d. Jacob Windham,7-6(5); 6-2
4/16/2012,Edward Elliott V. d. (7) Kenneth Sabacinski,Wo (inj)
4/16/2012,Semen Tripolskiy d. (3) Benn Marler,6-1; 6-0
4/16/2012,(5) Paulo Coronado d. David Yu,6-1; 6-0
4/16/2012,(1) Oleg Dmitriev d. Dmitry Marfinskiy,6-2; 6-3
4/16/2012,chatrian gnitou peity d. Mario Becerra,Wo (ill)
4/16/2012,Ryan Brookshaw d. (8) Chris Wilson,6-1; 6-2
4/16/2012,Bruce Kurtz d. Darian King,Def (ns)
4/16/2012,Maksim Tikhomirov d. Daniel Coronado,6-1; 6-1
4/16/2012,Jacob Windham d. Nikita Borodatov,Wo (ill)
4/16/2012,Edward Elliott V. d. Ryan Anthony Ybarra,3-6; 6-2; 10-2
4/16/2012,(7) Kenneth Sabacinski d. Gaston Murray,6-4; 6-3
4/16/2012,Semen Tripolskiy d. Alexander Reut,6-4; 6-3
4/16/2012,David Yu d. German Ayubi,7-6(7); 6-2
4/16/2012,Dmitry Marfinskiy d. Pedro Quijada,6-0; 6-1
4/16/2012,Gaston Murray d. (3) Benn Marler,6-1; 6-2
4/16/2012,Gaston Murray d. Bruce Kurtz,Wd (emerg)
4/16/2012,Gaston Murray d. Jacob Windham,Def (ns)
4/16/2012,(3) Benn Marler d. Pedro Quijada,8-1
4/23/2012,(2) Sebastian Acuna d. Maxim Borcuti,6-0; 6-2
4/23/2012,(2) Sebastian Acuna d. Pablo Sanchez,6-3; 7-6(1)
4/23/2012,Maxim Borcuti d. Marko Dragic,6-3; 2-6; 12-10
4/23/2012,(2) Sebastian Acuna d. stefan berner,Wo (emerg)
4/23/2012,Pablo Sanchez d. Dane Dunlap,7-6(4); 4-6; 10-5
4/23/2012,Maxim Borcuti d. Nicholas Garcia,Wo (emerg)
4/23/2012,Marko Dragic d. Paul An'drey Pierre-Louis,6-2; 4-6; 10-7
4/23/2012,(2) Sebastian Acuna d. Brendan Murphy,6-3; 6-2
4/23/2012,stefan berner d. Otto Paivinen,4-5Ret (quit)
4/23/2012,Dane Dunlap d. John Macris,6-2; 5-3Ret (quit)
4/23/2012,Pablo Sanchez d. Brandon Donaldson,4-6; 6-4; 10-3
4/23/2012,Nicholas Garcia d. RICARDO ANILLO,6-2; 6-3
4/23/2012,Maxim Borcuti d. Patrick Sinha,6-4; 6-3
4/23/2012,Marko Dragic d. Tony Kostadinov,6-2; 6-4
4/23/2012,Paul An'drey Pierre-Louis d. (1) Benn Marler,7-6(5); 6-4
4/23/2012,Brendan Murphy d. Gabriel Cleto,6-4; 4-6; 11-9
4/23/2012,Otto Paivinen d. (7) Anthony Schohn,6-3; 7-5
4/23/2012,stefan berner d. Joseph Correa,Wo (emerg)
4/23/2012,Dane Dunlap d. (3) Kurt Thein,7-5Ret (quit)
4/23/2012,John Macris d. John Matijevic,Wd (emerg)
4/23/2012,Brandon Donaldson d. (6) Chris Wilson,6-3; 7-6(3)
4/23/2012,Pablo Sanchez d. Rafael Gentil,7-5; 7-6(3)
4/23/2012,RICARDO ANILLO d. Alexander Gitin,Wo (emerg)
4/23/2012,Nicholas Garcia d. (5) Mark Epshteyn-Losev,Wo (emerg)
4/23/2012,Patrick Sinha d. joel yla-mononen,6-2; 6-2
4/23/2012,Maxim Borcuti d. (4) EJ Sanford,Def (ns)
4/23/2012,Tony Kostadinov d. Pedro Quijada,Def (ns)
4/23/2012,Marko Dragic d. (8) jose calero,7-5; 5-7; 10-2
4/23/2012,Paul An'drey Pierre-Louis d. Andres Weisskopf,6-3; 6-4
4/25/2012,(4) Michael Redlicki d. (1) yoshihito nishioka,6-0; 6-2
4/25/2012,(4) Michael Redlicki d. Rolando Torrellas-Carpio,6-1; 6-2
4/25/2012,(1) yoshihito nishioka d. Gonzalo Gayoso,6-3; 6-3
4/25/2012,Rolando Torrellas-Carpio d. (2) Joe Cadogan,2-6; 7-5; 6-4
4/25/2012,(4) Michael Redlicki d. (7) Matt Bocko,6-1; 6-2
4/25/2012,Gonzalo Gayoso d. Ryotaro Matsumura,6-3; 1-6; 6-0
4/25/2012,(1) yoshihito nishioka d. Matthew Lasprilla,6-2; 6-2
4/25/2012,(2) Joe Cadogan d. Eric Kent,6-1; 6-0
4/25/2012,Rolando Torrellas-Carpio d. William Albanese,7-5; 6-2
4/25/2012,(4) Michael Redlicki d. EJ Sanford,6-3; 6-1
4/25/2012,(7) Matt Bocko d. Kenneth Sabacinski,6-0; 6-0
4/25/2012,Ryotaro Matsumura d. Mateo Rivas,6-1; 6-1
4/25/2012,Gonzalo Gayoso d. Dmitry Marfinskiy,7-5; 4-2Ret (inj)
4/25/2012,Matthew Lasprilla d. (5) Marvin Rolle,7-6(4); 7-6(6)
4/25/2012,(1) yoshihito nishioka d. Alexandru Gasca-Silav,6-0; 6-1
4/25/2012,Eric Kent d. Benjamin Cousins,Def (ns)
4/25/2012,Rolando Torrellas-Carpio d. (6) Vlade Mavropoulos Stolia,6-2; 6-2
4/25/2012,William Albanese d. Juan Martin Ramirez,7-5; 6-4
4/25/2012,(4) Michael Redlicki d. Mario Becerra,6-0; 7-6(1)
4/25/2012,EJ Sanford d. Justin Tjon,7-6(5); 2-6; 6-1
4/25/2012,(7) Matt Bocko d. Alexander Gitin,6-2; 6-1
4/25/2012,Kenneth Sabacinski d. Dallana Wijesundera,6-0; 6-1
4/25/2012,Ryotaro Matsumura d. Josue Arana,6-0; 6-0
4/25/2012,Mateo Rivas d. Chris Wilson,6-1; 6-4
4/25/2012,Gonzalo Gayoso d. Alexey Nikolaev,7-5; 7-6(5)
4/25/2012,Dmitry Marfinskiy d. (3) Viju George,7-6(4); 3-6; 7-5
4/25/2012,Matthew Lasprilla d. Mark Oljaca,6-1; 6-3
4/25/2012,(5) Marvin Rolle d. Juan Rocha,6-1; 7-5
4/25/2012,Alexandru Gasca-Silav d. Anthony Schohn,6-4; 6-3
4/29/2012,Garard Gbedey d. Terhemba Makurdi,6-4; 7-5
4/29/2012,Garard Gbedey d. Marc Etkins,6-0; 6-0
4/29/2012,Terhemba Makurdi d. Robert Coriat,6-3; 2-6; 6-3
4/29/2012,Garard Gbedey d. Justin higgs,6-2; 6-0
4/29/2012,Robert Coriat d. Carlos Burbano,3-6; 6-2; 6-1
4/29/2012,Terhemba Makurdi d. Jody Maginley,Wo (ill)
4/29/2012,Marc Etkins d. Hillel Rousseau,Def (ns)
4/29/2012,Justin higgs d. Luis Garcia,Def (ns)
4/29/2012,Garard Gbedey d. David GOUBERT,6-0; 6-0
4/29/2012,Robert Coriat d. Damar Johnson,Def (ns)
4/29/2012,Carlos Burbano d. Alain Grullon,Def (ns)
4/29/2012,Terhemba Makurdi d. Timothy Carnahan,Def (ns)
4/29/2012,Jody Maginley d. Juan Rhondon,6-1; 6-2
4/29/2012,Marc Etkins d. Henry Lewis,Def (ns)
4/29/2012,Robert Coriat d. Richard Brown,6-1; 6-0
4/30/2012,(1) Joel Giger d. Benjamin Hartmann,6-1; 6-0
4/30/2012,Benjamin Hartmann d. harold williams,Def (late)
4/30/2012,(1) Joel Giger d. David Sarkisov,6-2; 6-1
4/30/2012,harold williams d. (2) Zandrix Acob,6-4; 2-6; 10-3
4/30/2012,Benjamin Hartmann d. (4) jose calero,6-4; 6-3
4/30/2012,David Sarkisov d. (3) Chris Wilson,5-7; 6-2; 10-5
4/30/2012,(1) Joel Giger d. Alexander Reut,6-0; 6-1
4/30/2012,harold williams d. Eric Kent,6-3; 6-3
4/30/2012,Benjamin Hartmann d. German Ayubi,6-1; 6-1
4/30/2012,David Sarkisov d. Juan Mateus,6-3; 3-6; 11-9
4/30/2012,(2) Zandrix Acob d. Juan Mateus,Wd (inj)
4/30/2012,(2) Zandrix Acob d. (4) jose calero,Wd (inj)
4/30/2012,Juan Mateus d. Alexander Reut,Wd (inj)
4/30/2012,(2) Zandrix Acob d. Eric Kent,Wd (inj)
4/30/2012,(4) jose calero d. German Ayubi,Wo (inj)
4/30/2012,Juan Mateus d. (3) Chris Wilson,Wo (ill)
5/7/2012,Jody Turnquest d. (1) Chris Wilson,6-0; 6-2
5/7/2012,Jody Turnquest d. Christopher Kinigopoulo,6-1; 7-5
5/7/2012,(1) Chris Wilson d. Francis Dominguez,Ret (ill)
5/7/2012,Christopher Kinigopoulo d. (2) John Macris,6-2; 6-1
5/7/2012,Jody Turnquest d. Imanol Del Val,6-1; 6-0
5/7/2012,Francis Dominguez d. Josue Arana,7-6Ret (inj)
5/7/2012,(1) Chris Wilson d. Aramis Azucey,7-6; 6-7; 6-2
5/7/2012,Jody Turnquest d. Eric Kent,6-2; 6-0
5/7/2012,Francis Dominguez d. Diego Dominguez,6-4; 6-3
5/7/2012,(2) John Macris d. Aramis Azucey,Wo (emerg)
5/7/2012,(2) John Macris d. Eric Kent,Def (ns)
5/18/2012,(1) Matt Bocko d. (7) Adrian Bohane,6-1; 2-0Ret (inj)
5/18/2012,(3) Oleg Dmitriev d. (9) Milos Koprivica,6-7(5); 7-5; 7-5
5/18/2012,(7) Adrian Bohane d. (9) Milos Koprivica,6-3; 6-4
5/18/2012,(1) Matt Bocko d. (3) Oleg Dmitriev,6-3; 6-3
5/18/2012,(9) Milos Koprivica d. (6) Ricardo Mena,6-4; 6-0
5/18/2012,(7) Adrian Bohane d. Tianyu Bao,6-3; 6-1
5/18/2012,(3) Oleg Dmitriev d. Kenneth Sabacinski,7-5; 3-6; 7-5
5/18/2012,(1) Matt Bocko d. (8) Paulo Barros,6-2; 6-0
